title,genre,year,rating,director,cast,description,duration,
WandaVision,"Action, Comedy, Drama, Superhero",2021,TV-PG,Matt Shakman,"Elizabeth Olsen, Paul Bettany","Wanda Maximoff and Vision live in a suburban sitcom world hiding a darker reality",50
The Mandalorian,"Action, Adventure, Sci-Fi, Western",2019,TV-14,Jon Favreau,"Pedro Pascal, Gina Carano","A bounty hunter travels the galaxy with a mysterious child",40
Loki,"Action, Adventure, Fantasy, Sci-Fi",2021,TV-14,Kate Herron,"Tom Hiddleston, Sophia Di Martino","The God of Mischief steps out of his brother's shadow in this new series",50
Moana,"Animation, Adventure, Comedy, Family",2016,PG,Ron Clements,"Auli'i Cravalho, Dwayne Johnson","A spirited Polynesian teenager sails across the Pacific to save her island home",107
Encanto,"Animation, Comedy, Family, Musical",2021,PG,Jared Bush,"Stephanie Beatriz, María Cecilia Botero","A magical family living in a charmed place called the Encanto",102
Soul,"Animation, Comedy, Drama, Family",2020,PG,Pete Docter,"Jamie Foxx, Tina Fey","A jazz musician gets the chance of a lifetime but accidentally separates his soul from his body",100
Frozen II,"Animation, Adventure, Comedy, Family",2019,PG,Chris Buck,"Kristen Bell, Idina Menzel","Anna and Elsa embark on a journey to discover the origin of Elsa's powers",103
Turning Red,"Animation, Comedy, Family, Coming-of-age",2022,PG,Domee Shi,"Rosalie Chiang, Sandra Oh","A 13-year-old girl turns into a giant red panda whenever she gets excited",100
The Falcon and the Winter Soldier,"Action, Adventure, Drama, Superhero",2021,TV-14,Kari Skogland,"Anthony Mackie, Sebastian Stan","Sam Wilson and Bucky Barnes team up for a global adventure",50
Hawkeye,"Action, Adventure, Comedy, Superhero",2021,TV-14,Rhys Thomas,"Jeremy Renner, Hailee Steinfeld","Clint Barton must partner with Kate Bishop to confront enemies from his past",50
